latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.52318,97.93096,339.89,0.54,0.42,2026-03-25,627,N20,VIIRS,n,2.0NRT,304.96,3.12,D,2026-03-25 06:27:00
17.52456,99.0457,342.48,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,308.71,7.4,D,2026-03-25 06:27:00
17.52587,98.41546,347.82,0.51,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,309.51,8.08,D,2026-03-25 06:27:00
17.52697,97.92998,335.63,0.54,0.42,2026-03-25,627,N20,VIIRS,n,2.0NRT,305.12,2.98,D,2026-03-25 06:27:00
17.52804,97.91351,334.84,0.54,0.42,2026-03-25,627,N20,VIIRS,n,2.0NRT,305.53,4.55,D,2026-03-25 06:27:00
17.52839,98.6076,341.04,0.49,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,308.18,7.41,D,2026-03-25 06:27:00
17.52867,99.00375,334.59,0.47,0.4,2026-03-25,627,N20,VIIRS,l,2.0NRT,308.7,3.21,D,2026-03-25 06:27:00
17.53229,99.00307,346.38,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,310.87,10.28,D,2026-03-25 06:27:00
17.53324,99.31559,346.95,0.46,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,307.88,5.1,D,2026-03-25 06:27:00
17.53395,99.31979,334.18,0.46,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,305.89,5.1,D,2026-03-25 06:27:00
17.53679,99.31487,346.07,0.46,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,306.52,5.1,D,2026-03-25 06:27:00
17.53751,99.31908,333.45,0.46,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,304.86,5.1,D,2026-03-25 06:27:00
17.53815,98.62001,336.14,0.49,0.41,2026-03-25,627,N20,VIIRS,l,2.0NRT,308.31,5.24,D,2026-03-25 06:27:00
17.53944,98.60545,340.07,0.49,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,310.16,5.5,D,2026-03-25 06:27:00
17.54123,98.63789,347.49,0.49,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,310.18,9.68,D,2026-03-25 06:27:00
17.54553,99.0597,338.51,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,308.14,4.13,D,2026-03-25 06:27:00
17.54689,98.60443,335.33,0.49,0.41,2026-03-25,627,N20,VIIRS,l,2.0NRT,309.42,7.58,D,2026-03-25 06:27:00
17.54693,99.06799,342.52,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,311.14,6.19,D,2026-03-25 06:27:00
17.54737,99.0648,339.76,0.47,0.4,2026-03-25,627,N20,VIIRS,l,2.0NRT,311.01,15.6,D,2026-03-25 06:27:00
17.54808,99.06896,348.73,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,312.21,15.6,D,2026-03-25 06:27:00
17.54832,97.57287,333.33,0.56,0.43,2026-03-25,627,N20,VIIRS,l,2.0NRT,308.16,3.29,D,2026-03-25 06:27:00
17.54912,99.05893,343.78,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,309.27,5.8,D,2026-03-25 06:27:00
17.54951,99.05572,334.29,0.47,0.4,2026-03-25,627,N20,VIIRS,l,2.0NRT,308.96,6.03,D,2026-03-25 06:27:00
17.54983,99.06312,350.45,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,315.87,16.71,D,2026-03-25 06:27:00
17.55023,99.05988,347.22,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,310.71,6.03,D,2026-03-25 06:27:00
17.55053,99.06731,349.81,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,311.95,16.71,D,2026-03-25 06:27:00
17.55058,98.60372,345.1,0.49,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,307.67,5.86,D,2026-03-25 06:27:00
17.55096,99.06408,354.48,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,316.6,15.6,D,2026-03-25 06:27:00
17.55166,99.04658,336.44,0.47,0.4,2026-03-25,627,N20,VIIRS,l,2.0NRT,309.1,7.86,D,2026-03-25 06:27:00
17.55272,99.05814,340.4,0.47,0.4,2026-03-25,627,N20,VIIRS,l,2.0NRT,310.82,5.8,D,2026-03-25 06:27:00
17.5531,99.05495,343.6,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,311.57,7.75,D,2026-03-25 06:27:00
17.55747,99.05865,346.59,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,313.83,7.75,D,2026-03-25 06:27:00
17.55819,99.06282,352.06,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,318.2,29.87,D,2026-03-25 06:27:00
17.56113,99.05828,347.03,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,312.13,9.25,D,2026-03-25 06:27:00
17.56182,99.06234,333.42,0.47,0.4,2026-03-25,627,N20,VIIRS,n,2.0NRT,308.3,3.19,D,2026-03-25 06:27:00
17.57432,99.11324,347.3,0.47,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,313.37,8.72,D,2026-03-25 06:27:00
17.57507,99.11758,347.68,0.47,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,313.08,8.72,D,2026-03-25 06:27:00
17.57948,98.59459,333.22,0.5,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,303.23,3.63,D,2026-03-25 06:27:00
17.58133,98.59136,333.36,0.49,0.41,2026-03-25,627,N20,VIIRS,l,2.0NRT,305.56,7.25,D,2026-03-25 06:27:00
17.58311,98.59355,335.89,0.5,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,305.34,3.63,D,2026-03-25 06:27:00
17.58871,99.11063,336.92,0.47,0.39,2026-03-25,627,N20,VIIRS,l,2.0NRT,311.23,6.2,D,2026-03-25 06:27:00
17.58945,99.11494,347.34,0.47,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,311.73,6.2,D,2026-03-25 06:27:00
17.59022,99.3268,338.91,0.46,0.39,2026-03-25,627,N20,VIIRS,n,2.0NRT,312.47,8.67,D,2026-03-25 06:27:00
17.59222,98.58831,335.74,0.49,0.41,2026-03-25,627,N20,VIIRS,l,2.0NRT,308.82,4.33,D,2026-03-25 06:27:00
17.5994,97.54121,342.58,0.56,0.43,2026-03-25,627,N20,VIIRS,n,2.0NRT,310.21,7.02,D,2026-03-25 06:27:00
17.60221,98.55817,344.65,0.5,0.41,2026-03-25,627,N20,VIIRS,n,2.0NRT,308.5,5.2,D,2026-03-25 06:27:00
17.60255,97.53777,339.54,0.56,0.43,2026-03-25,627,N20,VIIRS,n,2.0NRT,307.27,9.59,D,2026-03-25 06:27:00
17.6029,97.85574,345.35,0.54,0.42,2026-03-25,627,N20,VIIRS,n,2.0NRT,309.93,15.5,D,2026-03-25 06:27:00
17.60637,97.87525,335.33,0.54,0.42,2026-03-25,627,N20,VIIRS,n,2.0NRT,304.59,85.24,D,2026-03-25 06:27:00
17.60715,97.74475,367.0,0.55,0.43,2026-03-25,627,N20,VIIRS,h,2.0NRT,328.64,88.55,D,2026-03-25 06:27:00
