latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.52718,97.91208,330.58,0.45,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,295.19,3.29,D,2026-04-21 06:20:00
17.54984,97.6409,333.67,0.47,0.48,2026-04-21,620,N20,VIIRS,n,2.0NRT,297.44,5.46,D,2026-04-21 06:20:00
17.55771,97.95847,335.55,0.45,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,296.79,2.26,D,2026-04-21 06:20:00
17.60624,98.10421,342.44,0.44,0.46,2026-04-21,620,N20,VIIRS,n,2.0NRT,301.1,5.97,D,2026-04-21 06:20:00
17.62269,98.66436,330.75,0.41,0.45,2026-04-21,620,N20,VIIRS,n,2.0NRT,298.25,2.45,D,2026-04-21 06:20:00
17.63193,99.38377,334.68,0.55,0.43,2026-04-21,620,N20,VIIRS,n,2.0NRT,303.11,3.94,D,2026-04-21 06:20:00
17.8761,98.40205,330.96,0.42,0.45,2026-04-21,620,N20,VIIRS,n,2.0NRT,301.35,2.1,D,2026-04-21 06:20:00
17.88575,97.77994,331.85,0.46,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,299.45,3.51,D,2026-04-21 06:20:00
17.94715,97.98996,330.45,0.44,0.46,2026-04-21,620,N20,VIIRS,n,2.0NRT,299.67,5.09,D,2026-04-21 06:20:00
17.97641,98.03051,334.74,0.44,0.46,2026-04-21,620,N20,VIIRS,n,2.0NRT,297.4,3.04,D,2026-04-21 06:20:00
17.9793,98.45703,330.4,0.41,0.45,2026-04-21,620,N20,VIIRS,l,2.0NRT,301.8,4.85,D,2026-04-21 06:20:00
17.98865,99.48048,332.71,0.54,0.42,2026-04-21,620,N20,VIIRS,l,2.0NRT,306.75,67.17,D,2026-04-21 06:20:00
18.02198,97.9241,330.03,0.44,0.46,2026-04-21,620,N20,VIIRS,n,2.0NRT,297.03,4.17,D,2026-04-21 06:20:00
18.02385,99.34237,333.27,0.55,0.43,2026-04-21,620,N20,VIIRS,l,2.0NRT,306.75,3.14,D,2026-04-21 06:20:00
18.0301,98.52933,330.42,0.41,0.45,2026-04-21,620,N20,VIIRS,l,2.0NRT,302.18,2.12,D,2026-04-21 06:20:00
18.05293,97.83201,333.04,0.45,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,298.22,5.61,D,2026-04-21 06:20:00
18.05638,97.8269,338.1,0.45,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,302.41,5.61,D,2026-04-21 06:20:00
18.07043,99.37295,331.91,0.54,0.42,2026-04-21,620,N20,VIIRS,l,2.0NRT,304.14,1.76,D,2026-04-21 06:20:00
18.08397,98.20889,334.55,0.43,0.46,2026-04-21,620,N20,VIIRS,n,2.0NRT,300.75,2.98,D,2026-04-21 06:20:00
18.08558,99.39084,332.46,0.54,0.42,2026-04-21,620,N20,VIIRS,l,2.0NRT,307.08,2.33,D,2026-04-21 06:20:00
18.09329,98.46365,336.6,0.41,0.45,2026-04-21,620,N20,VIIRS,n,2.0NRT,303.41,5.56,D,2026-04-21 06:20:00
18.09381,98.46352,335.67,0.41,0.45,2026-04-21,620,N20,VIIRS,n,2.0NRT,302.97,6.41,D,2026-04-21 06:20:00
18.09494,98.63229,330.67,0.4,0.44,2026-04-21,620,N20,VIIRS,l,2.0NRT,304.9,1.95,D,2026-04-21 06:20:00
18.10162,98.57676,330.19,0.4,0.44,2026-04-21,620,N20,VIIRS,l,2.0NRT,303.18,1.27,D,2026-04-21 06:20:00
18.10501,98.5724,336.11,0.4,0.45,2026-04-21,620,N20,VIIRS,n,2.0NRT,302.59,1.93,D,2026-04-21 06:20:00
18.10996,97.50437,330.36,0.47,0.48,2026-04-21,620,N20,VIIRS,n,2.0NRT,296.69,1.52,D,2026-04-21 06:20:00
18.12991,99.37155,338.65,0.54,0.42,2026-04-21,620,N20,VIIRS,n,2.0NRT,307.84,3.52,D,2026-04-21 06:20:00
18.26341,98.63348,335.46,0.4,0.44,2026-04-21,620,N20,VIIRS,n,2.0NRT,303.2,3.02,D,2026-04-21 06:20:00
18.30129,98.9473,336.32,0.57,0.43,2026-04-21,620,N20,VIIRS,n,2.0NRT,303.73,4.74,D,2026-04-21 06:20:00
18.3268,97.54536,335.97,0.46,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,300.1,3.6,D,2026-04-21 06:20:00
18.33114,97.54476,333.21,0.46,0.47,2026-04-21,620,N20,VIIRS,n,2.0NRT,299.07,3.6,D,2026-04-21 06:20:00
18.35413,98.2593,330.53,0.42,0.45,2026-04-21,620,N20,VIIRS,l,2.0NRT,304.61,4.0,D,2026-04-21 06:20:00
18.36737,98.26204,331.25,0.42,0.45,2026-04-21,620,N20,VIIRS,n,2.0NRT,300.92,4.49,D,2026-04-21 06:20:00
