latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.5021,98.57785,335.81,0.5,0.41,2026-04-19,659,N20,VIIRS,n,2.0NRT,298.25,4.59,D,2026-04-19 06:59:00
17.50401,98.57599,344.57,0.5,0.41,2026-04-19,659,N20,VIIRS,n,2.0NRT,299.3,6.44,D,2026-04-19 06:59:00
17.54485,97.57089,336.36,0.45,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,296.18,2.95,D,2026-04-19 06:59:00
17.55751,99.1144,332.41,0.53,0.42,2026-04-19,659,N20,VIIRS,n,2.0NRT,299.13,4.76,D,2026-04-19 06:59:00
17.56793,98.99709,330.28,0.52,0.42,2026-04-19,659,N20,VIIRS,n,2.0NRT,294.4,2.76,D,2026-04-19 06:59:00
17.57623,97.93123,352.39,0.46,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,302.9,33.23,D,2026-04-19 06:59:00
17.57983,97.93064,349.0,0.46,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,306.67,33.23,D,2026-04-19 06:59:00
17.58041,97.93488,336.89,0.46,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,302.53,33.23,D,2026-04-19 06:59:00
17.58155,98.40835,331.26,0.49,0.4,2026-04-19,659,N20,VIIRS,l,2.0NRT,301.27,5.14,D,2026-04-19 06:59:00
17.58282,99.15684,330.31,0.54,0.42,2026-04-19,659,N20,VIIRS,n,2.0NRT,295.2,2.09,D,2026-04-19 06:59:00
17.58376,98.40495,330.22,0.49,0.4,2026-04-19,659,N20,VIIRS,l,2.0NRT,301.18,2.94,D,2026-04-19 06:59:00
17.58397,97.93408,348.95,0.46,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,300.02,65.88,D,2026-04-19 06:59:00
17.58475,99.15882,331.22,0.54,0.42,2026-04-19,659,N20,VIIRS,n,2.0NRT,294.16,3.64,D,2026-04-19 06:59:00
17.58861,99.15829,332.14,0.54,0.42,2026-04-19,659,N20,VIIRS,n,2.0NRT,294.32,3.64,D,2026-04-19 06:59:00
17.58885,97.91597,344.37,0.46,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,304.14,22.89,D,2026-04-19 06:59:00
17.59001,97.92442,335.19,0.46,0.39,2026-04-19,659,N20,VIIRS,n,2.0NRT,298.49,11.28,D,2026-04-19 06:59:00
17.5962,98.57139,335.82,0.5,0.41,2026-04-19,659,N20,VIIRS,l,2.0NRT,307.74,4.69,D,2026-04-19 06:59:00
17.59756,98.52579,341.36,0.5,0.41,2026-04-19,659,N20,VIIRS,n,2.0NRT,310.73,11.49,D,2026-04-19 06:59:00
17.59976,98.52735,339.3,0.5,0.41,2026-04-19,659,N20,VIIRS,l,2.0NRT,311.52,9.45,D,2026-04-19 06:59:00
17.60598,98.09553,336.7,0.47,0.4,2026-04-19,659,N20,VIIRS,n,2.0NRT,298.64,3.13,D,2026-04-19 06:59:00
17.60906,98.36852,340.25,0.49,0.4,2026-04-19,659,N20,VIIRS,n,2.0NRT,299.37,4.92,D,2026-04-19 06:59:00
17.63059,98.41718,333.73,0.49,0.4,2026-04-19,659,N20,VIIRS,l,2.0NRT,307.4,2.37,D,2026-04-19 06:59:00
17.63124,98.42203,335.72,0.49,0.4,2026-04-19,659,N20,VIIRS,l,2.0NRT,308.19,3.94,D,2026-04-19 06:59:00
17.63422,98.6459,344.71,0.5,0.41,2026-04-19,659,N20,VIIRS,n,2.0NRT,304.74,4.29,D,2026-04-19 06:59:00
17.63494,98.42148,347.6,0.49,0.4,2026-04-19,659,N20,VIIRS,n,2.0NRT,310.99,7.56,D,2026-04-19 06:59:00
17.63799,98.6455,336.57,0.5,0.41,2026-04-19,659,N20,VIIRS,n,2.0NRT,302.37,4.29,D,2026-04-19 06:59:00
