latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.50026,99.11705,348.52,0.48,0.48,2026-04-16,614,N20,VIIRS,n,2.0NRT,314.92,8.1,D,2026-04-16 06:14:00
17.50057,99.09808,345.81,0.48,0.48,2026-04-16,614,N20,VIIRS,l,2.0NRT,315.96,7.96,D,2026-04-16 06:14:00
17.50126,99.09869,350.87,0.48,0.48,2026-04-16,614,N20,VIIRS,n,2.0NRT,316.17,6.89,D,2026-04-16 06:14:00
17.503,99.11122,347.47,0.48,0.48,2026-04-16,614,N20,VIIRS,n,2.0NRT,315.96,8.98,D,2026-04-16 06:14:00
17.50378,99.11181,349.14,0.48,0.48,2026-04-16,614,N20,VIIRS,n,2.0NRT,315.42,7.83,D,2026-04-16 06:14:00
17.50461,99.11996,339.35,0.48,0.48,2026-04-16,614,N20,VIIRS,l,2.0NRT,313.43,8.18,D,2026-04-16 06:14:00
17.50715,99.30352,343.5,0.47,0.47,2026-04-16,614,N20,VIIRS,n,2.0NRT,313.02,4.74,D,2026-04-16 06:14:00
17.51142,99.30251,337.53,0.47,0.47,2026-04-16,614,N20,VIIRS,l,2.0NRT,311.84,4.67,D,2026-04-16 06:14:00
17.51217,99.30654,344.74,0.47,0.47,2026-04-16,614,N20,VIIRS,n,2.0NRT,312.2,6.61,D,2026-04-16 06:14:00
17.51273,99.16399,342.46,0.47,0.48,2026-04-16,614,N20,VIIRS,l,2.0NRT,313.59,4.87,D,2026-04-16 06:14:00
17.51388,99.16446,346.26,0.47,0.48,2026-04-16,614,N20,VIIRS,n,2.0NRT,314.18,5.23,D,2026-04-16 06:14:00
17.51589,97.88338,333.44,0.57,0.52,2026-04-16,614,N20,VIIRS,n,2.0NRT,302.6,2.24,D,2026-04-16 06:14:00
17.53279,97.99402,333.87,0.56,0.52,2026-04-16,614,N20,VIIRS,l,2.0NRT,308.77,3.44,D,2026-04-16 06:14:00
