latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.50046,97.5876,331.18,0.54,0.42,2026-04-08,703,N20,VIIRS,l,2.0NRT,304.78,3.63,D,2026-04-08 07:03:00
17.51305,97.83969,334.16,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,304.8,9.41,D,2026-04-08 07:03:00
17.51961,99.09985,341.33,0.44,0.46,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.97,3.79,D,2026-04-08 07:03:00
17.526,97.69275,340.11,0.55,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.29,34.3,D,2026-04-08 07:03:00
17.52651,99.12025,336.1,0.44,0.46,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.64,5.07,D,2026-04-08 07:03:00
17.53999,97.80042,340.93,0.55,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.76,21.43,D,2026-04-08 07:03:00
17.54609,98.46266,331.6,0.4,0.45,2026-04-08,703,N20,VIIRS,l,2.0NRT,303.6,6.91,D,2026-04-08 07:03:00
17.54809,99.36269,352.91,0.46,0.47,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.58,10.74,D,2026-04-08 07:03:00
17.55015,98.46196,348.77,0.4,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,307.63,6.91,D,2026-04-08 07:03:00
17.55062,98.46555,333.62,0.4,0.45,2026-04-08,703,N20,VIIRS,l,2.0NRT,303.74,6.97,D,2026-04-08 07:03:00
17.55239,99.36182,335.14,0.46,0.47,2026-04-08,703,N20,VIIRS,l,2.0NRT,305.96,3.74,D,2026-04-08 07:03:00
17.55884,97.57156,340.87,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,306.54,4.12,D,2026-04-08 07:03:00
17.56108,97.56894,341.26,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.29,4.87,D,2026-04-08 07:03:00
17.56271,97.57101,344.99,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.32,4.12,D,2026-04-08 07:03:00
17.56332,98.72975,341.55,0.42,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,301.96,8.14,D,2026-04-08 07:03:00
17.56563,97.57347,335.17,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.88,4.87,D,2026-04-08 07:03:00
17.56641,99.24504,332.34,0.45,0.47,2026-04-08,703,N20,VIIRS,n,2.0NRT,299.59,3.52,D,2026-04-08 07:03:00
17.56699,98.59302,339.41,0.41,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.6,7.09,D,2026-04-08 07:03:00
17.56787,97.58063,339.42,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.47,8.57,D,2026-04-08 07:03:00
17.57074,99.24464,340.98,0.45,0.47,2026-04-08,703,N20,VIIRS,n,2.0NRT,299.04,3.52,D,2026-04-08 07:03:00
17.57433,97.5694,340.88,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.5,9.82,D,2026-04-08 07:03:00
17.57497,97.57448,337.13,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.77,9.82,D,2026-04-08 07:03:00
17.58566,98.61961,338.19,0.41,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,302.89,2.09,D,2026-04-08 07:03:00
17.58585,97.50604,339.0,0.53,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.0,3.11,D,2026-04-08 07:03:00
17.5897,97.50549,343.29,0.53,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,301.92,12.86,D,2026-04-08 07:03:00
17.60081,98.37173,332.06,0.4,0.44,2026-04-08,703,N20,VIIRS,l,2.0NRT,304.66,3.85,D,2026-04-08 07:03:00
17.61971,98.55564,336.96,0.41,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.85,6.13,D,2026-04-08 07:03:00
17.61995,97.83361,338.8,0.56,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.73,5.17,D,2026-04-08 07:03:00
17.62219,97.78844,333.46,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,303.57,5.36,D,2026-04-08 07:03:00
17.63718,98.69601,334.91,0.42,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.64,5.36,D,2026-04-08 07:03:00
17.65344,98.39474,367.0,0.4,0.44,2026-04-08,703,N20,VIIRS,h,2.0NRT,308.57,7.31,D,2026-04-08 07:03:00
17.67829,97.97498,336.27,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,306.0,5.38,D,2026-04-08 07:03:00
17.68706,99.40365,335.07,0.46,0.47,2026-04-08,703,N20,VIIRS,n,2.0NRT,282.49,4.3,D,2026-04-08 07:03:00
17.68796,99.40084,345.96,0.47,0.47,2026-04-08,703,N20,VIIRS,n,2.0NRT,283.68,6.63,D,2026-04-08 07:03:00
17.70536,98.02751,336.83,0.38,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.87,3.63,D,2026-04-08 07:03:00
17.70889,98.75023,334.64,0.42,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,300.96,4.74,D,2026-04-08 07:03:00
17.71218,98.7532,337.91,0.42,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,301.38,7.97,D,2026-04-08 07:03:00
17.71346,98.75291,332.16,0.42,0.45,2026-04-08,703,N20,VIIRS,n,2.0NRT,297.13,2.91,D,2026-04-08 07:03:00
17.75822,99.05321,333.54,0.44,0.46,2026-04-08,703,N20,VIIRS,l,2.0NRT,304.64,4.71,D,2026-04-08 07:03:00
17.76591,97.72604,342.18,0.55,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,311.86,65.1,D,2026-04-08 07:03:00
17.80039,97.71457,332.33,0.55,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,303.52,2.1,D,2026-04-08 07:03:00
17.80071,97.71761,335.6,0.55,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.34,6.91,D,2026-04-08 07:03:00
17.80231,98.00588,337.45,0.38,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,306.33,2.54,D,2026-04-08 07:03:00
17.80284,97.51621,341.66,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.22,19.27,D,2026-04-08 07:03:00
17.80573,97.90782,334.14,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,305.76,4.22,D,2026-04-08 07:03:00
17.82351,97.96339,334.24,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,306.3,4.81,D,2026-04-08 07:03:00
17.82424,97.96929,333.77,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,306.06,4.81,D,2026-04-08 07:03:00
17.82549,97.96605,342.4,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,306.27,7.81,D,2026-04-08 07:03:00
17.83361,97.97949,334.36,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,308.34,4.89,D,2026-04-08 07:03:00
17.83565,97.98159,337.18,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,308.33,4.84,D,2026-04-08 07:03:00
17.83886,97.67274,343.72,0.55,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.8,10.81,D,2026-04-08 07:03:00
17.84113,97.62887,336.28,0.55,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.73,14.3,D,2026-04-08 07:03:00
17.84152,97.51061,335.2,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.63,3.86,D,2026-04-08 07:03:00
17.84249,97.73197,338.18,0.55,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,310.98,9.32,D,2026-04-08 07:03:00
17.84487,97.97235,342.25,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,309.67,6.67,D,2026-04-08 07:03:00
17.84498,97.62798,337.91,0.55,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,302.08,8.73,D,2026-04-08 07:03:00
17.84541,97.51021,334.08,0.54,0.42,2026-04-08,703,N20,VIIRS,l,2.0NRT,305.34,6.23,D,2026-04-08 07:03:00
17.85655,97.90475,341.06,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,306.38,5.87,D,2026-04-08 07:03:00
17.85724,97.91016,338.07,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.02,5.87,D,2026-04-08 07:03:00
17.8598,97.89857,349.32,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,307.74,16.84,D,2026-04-08 07:03:00
17.86046,97.90382,340.08,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,305.77,5.87,D,2026-04-08 07:03:00
17.86438,97.9029,334.9,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.88,5.09,D,2026-04-08 07:03:00
17.87387,98.66528,332.05,0.42,0.45,2026-04-08,703,N20,VIIRS,l,2.0NRT,302.96,4.06,D,2026-04-08 07:03:00
17.88077,97.62849,330.25,0.55,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.54,3.14,D,2026-04-08 07:03:00
17.88442,97.74729,333.83,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,308.05,4.91,D,2026-04-08 07:03:00
17.89856,97.60645,335.53,0.55,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.64,13.62,D,2026-04-08 07:03:00
17.9079,97.77354,332.01,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,303.8,3.81,D,2026-04-08 07:03:00
17.90908,97.84952,337.02,0.56,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,306.51,7.5,D,2026-04-08 07:03:00
17.90956,97.84727,331.27,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,304.79,5.24,D,2026-04-08 07:03:00
17.9102,97.85218,333.28,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,305.39,5.59,D,2026-04-08 07:03:00
17.91158,97.58425,339.89,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.24,6.46,D,2026-04-08 07:03:00
17.91186,97.77531,333.81,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,304.76,4.31,D,2026-04-08 07:03:00
17.91328,97.5666,346.01,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,304.61,36.17,D,2026-04-08 07:03:00
17.91716,97.56599,344.49,0.54,0.42,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.83,36.17,D,2026-04-08 07:03:00
17.91985,98.01922,345.26,0.38,0.44,2026-04-08,703,N20,VIIRS,n,2.0NRT,309.74,5.5,D,2026-04-08 07:03:00
17.92745,97.86773,330.7,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,301.2,4.03,D,2026-04-08 07:03:00
17.92804,97.86536,335.88,0.57,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,301.83,3.87,D,2026-04-08 07:03:00
17.93141,98.98856,332.27,0.44,0.46,2026-04-08,703,N20,VIIRS,n,2.0NRT,301.63,2.84,D,2026-04-08 07:03:00
17.93702,97.91208,330.77,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,305.32,4.68,D,2026-04-08 07:03:00
17.93752,97.75655,344.54,0.56,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.97,9.09,D,2026-04-08 07:03:00
17.93969,97.95353,334.88,0.57,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,307.31,4.16,D,2026-04-08 07:03:00
17.93999,97.80761,334.46,0.56,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,303.59,6.13,D,2026-04-08 07:03:00
17.94079,97.78227,334.8,0.56,0.43,2026-04-08,703,N20,VIIRS,l,2.0NRT,307.08,4.56,D,2026-04-08 07:03:00
17.94142,97.78723,354.92,0.56,0.43,2026-04-08,703,N20,VIIRS,n,2.0NRT,308.05,8.99,D,2026-04-08 07:03:00
