latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.50374,97.58788,339.88,0.38,0.36,2026-04-09,644,N20,VIIRS,n,2.0NRT,308.52,4.7,D,2026-04-09 06:44:00
17.5105,98.03597,342.14,0.38,0.36,2026-04-09,644,N20,VIIRS,l,2.0NRT,312.28,7.2,D,2026-04-09 06:44:00
17.51326,98.03184,342.1,0.38,0.36,2026-04-09,644,N20,VIIRS,n,2.0NRT,310.56,5.05,D,2026-04-09 06:44:00
17.51783,97.90596,333.27,0.38,0.36,2026-04-09,644,N20,VIIRS,l,2.0NRT,304.57,1.62,D,2026-04-09 06:44:00
17.51801,99.09435,341.34,0.4,0.37,2026-04-09,644,N20,VIIRS,n,2.0NRT,310.65,4.66,D,2026-04-09 06:44:00
17.51887,97.95733,342.65,0.38,0.36,2026-04-09,644,N20,VIIRS,l,2.0NRT,316.2,53.29,D,2026-04-09 06:44:00
17.51942,97.96093,340.12,0.38,0.36,2026-04-09,644,N20,VIIRS,n,2.0NRT,310.32,18.87,D,2026-04-09 06:44:00
17.51963,99.10551,348.51,0.4,0.37,2026-04-09,644,N20,VIIRS,n,2.0NRT,311.27,8.63,D,2026-04-09 06:44:00
17.52162,97.95319,353.82,0.38,0.36,2026-04-09,644,N20,VIIRS,n,2.0NRT,312.41,8.18,D,2026-04-09 06:44:00
17.52217,97.95679,346.04,0.38,0.36,2026-04-09,644,N20,VIIRS,n,2.0NRT,308.36,8.18,D,2026-04-09 06:44:00
17.52244,99.10126,335.46,0.4,0.37,2026-04-09,644,N20,VIIRS,l,2.0NRT,309.99,11.5,D,2026-04-09 06:44:00
17.52271,97.96038,337.1,0.38,0.36,2026-04-09,644,N20,VIIRS,n,2.0NRT,306.67,2.88,D,2026-04-09 06:44:00
17.52297,99.10499,350.24,0.4,0.37,2026-04-09,644,N20,VIIRS,n,2.0NRT,314.29,11.5,D,2026-04-09 06:44:00
17.52548,97.93412,332.72,0.38,0.36,2026-04-09,644,N20,VIIRS,l,2.0NRT,304.49,2.4,D,2026-04-09 06:44:00
17.5264,98.27641,346.21,0.39,0.36,2026-04-09,644,N20,VIIRS,l,2.0NRT,319.12,15.49,D,2026-04-09 06:44:00
