latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.53281,99.33133,336.83,0.45,0.47,2026-04-24,703,N20,VIIRS,n,2.0NRT,296.31,34.08,D,2026-04-24 07:03:00
17.53336,99.33582,344.11,0.45,0.47,2026-04-24,703,N20,VIIRS,n,2.0NRT,298.91,34.08,D,2026-04-24 07:03:00
17.53668,97.94067,340.16,0.56,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,300.72,4.25,D,2026-04-24 07:03:00
17.56112,99.14026,331.11,0.44,0.46,2026-04-24,703,N20,VIIRS,n,2.0NRT,300.99,1.7,D,2026-04-24 07:03:00
17.61863,98.2342,333.73,0.39,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,293.56,3.9,D,2026-04-24 07:03:00
17.80543,98.04205,330.42,0.57,0.43,2026-04-24,703,N20,VIIRS,l,2.0NRT,305.16,3.78,D,2026-04-24 07:03:00
17.85047,98.80032,336.14,0.42,0.46,2026-04-24,703,N20,VIIRS,n,2.0NRT,299.4,2.98,D,2026-04-24 07:03:00
17.86405,97.63185,332.96,0.54,0.42,2026-04-24,703,N20,VIIRS,n,2.0NRT,292.88,3.53,D,2026-04-24 07:03:00
17.86572,97.70556,330.93,0.55,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,297.0,3.01,D,2026-04-24 07:03:00
17.86628,97.70983,336.82,0.55,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,296.11,7.33,D,2026-04-24 07:03:00
17.893,98.17214,334.12,0.39,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,303.59,5.14,D,2026-04-24 07:03:00
17.89421,98.18181,332.53,0.39,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,301.44,3.88,D,2026-04-24 07:03:00
17.89702,98.17166,343.21,0.39,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,304.95,8.01,D,2026-04-24 07:03:00
17.90052,97.78946,330.45,0.55,0.43,2026-04-24,703,N20,VIIRS,l,2.0NRT,302.03,2.84,D,2026-04-24 07:03:00
17.90258,97.71424,335.5,0.55,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,300.15,5.34,D,2026-04-24 07:03:00
17.99209,98.16806,333.74,0.39,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,303.74,4.05,D,2026-04-24 07:03:00
18.03189,97.81849,344.87,0.56,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,304.78,18.0,D,2026-04-24 07:03:00
18.03258,97.82095,339.81,0.56,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,304.99,16.6,D,2026-04-24 07:03:00
18.04641,98.11366,335.58,0.39,0.44,2026-04-24,703,N20,VIIRS,l,2.0NRT,308.07,6.73,D,2026-04-24 07:03:00
18.04865,97.60528,334.21,0.54,0.42,2026-04-24,703,N20,VIIRS,n,2.0NRT,303.43,4.81,D,2026-04-24 07:03:00
18.04875,98.19565,342.2,0.39,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,305.11,4.56,D,2026-04-24 07:03:00
18.05468,98.05182,338.35,0.38,0.44,2026-04-24,703,N20,VIIRS,n,2.0NRT,306.02,5.55,D,2026-04-24 07:03:00
18.05548,98.89938,330.69,0.43,0.46,2026-04-24,703,N20,VIIRS,n,2.0NRT,299.93,2.81,D,2026-04-24 07:03:00
18.05599,98.90339,339.12,0.43,0.46,2026-04-24,703,N20,VIIRS,n,2.0NRT,299.5,2.81,D,2026-04-24 07:03:00
18.05712,98.87848,343.04,0.43,0.46,2026-04-24,703,N20,VIIRS,n,2.0NRT,298.95,3.23,D,2026-04-24 07:03:00
18.05784,98.87923,344.64,0.43,0.46,2026-04-24,703,N20,VIIRS,n,2.0NRT,298.95,7.06,D,2026-04-24 07:03:00
18.1416,98.01656,353.13,0.38,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,303.31,6.03,D,2026-04-24 07:03:00
18.16856,97.69894,336.18,0.55,0.43,2026-04-24,703,N20,VIIRS,n,2.0NRT,305.47,3.13,D,2026-04-24 07:03:00
18.18152,98.02526,334.16,0.38,0.44,2026-04-24,703,N20,VIIRS,l,2.0NRT,304.92,4.19,D,2026-04-24 07:03:00
18.19896,98.06739,331.72,0.39,0.44,2026-04-24,703,N20,VIIRS,l,2.0NRT,303.04,2.85,D,2026-04-24 07:03:00
18.24905,98.4385,330.14,0.41,0.45,2026-04-24,703,N20,VIIRS,l,2.0NRT,304.71,2.1,D,2026-04-24 07:03:00
18.24944,98.44167,330.08,0.41,0.45,2026-04-24,703,N20,VIIRS,l,2.0NRT,303.39,2.1,D,2026-04-24 07:03:00
18.2572,98.4369,333.06,0.41,0.45,2026-04-24,703,N20,VIIRS,l,2.0NRT,305.04,2.39,D,2026-04-24 07:03:00
18.26577,98.4388,340.94,0.41,0.45,2026-04-24,703,N20,VIIRS,n,2.0NRT,302.46,5.97,D,2026-04-24 07:03:00
