latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.51427,98.78928,341.94,0.52,0.66,2026-04-17,553,N20,VIIRS,n,2.0NRT,302.09,4.55,D,2026-04-17 05:53:00
17.51528,98.79379,330.79,0.51,0.66,2026-04-17,553,N20,VIIRS,l,2.0NRT,302.52,4.55,D,2026-04-17 05:53:00
17.51935,99.30399,336.26,0.48,0.64,2026-04-17,553,N20,VIIRS,n,2.0NRT,304.31,5.98,D,2026-04-17 05:53:00
17.51937,98.79107,340.14,0.52,0.66,2026-04-17,553,N20,VIIRS,n,2.0NRT,299.87,10.25,D,2026-04-17 05:53:00
17.5197,99.30202,332.57,0.48,0.64,2026-04-17,553,N20,VIIRS,l,2.0NRT,304.36,3.21,D,2026-04-17 05:53:00
17.52053,99.30595,333.26,0.48,0.64,2026-04-17,553,N20,VIIRS,n,2.0NRT,303.77,3.21,D,2026-04-17 05:53:00
17.57079,98.38229,335.77,0.55,0.68,2026-04-17,553,N20,VIIRS,n,2.0NRT,306.26,4.19,D,2026-04-17 05:53:00
17.61638,98.35553,331.32,0.55,0.68,2026-04-17,553,N20,VIIRS,l,2.0NRT,303.93,8.95,D,2026-04-17 05:53:00
17.64241,98.41575,339.75,0.54,0.68,2026-04-17,553,N20,VIIRS,n,2.0NRT,304.74,6.15,D,2026-04-17 05:53:00
17.6994,99.32513,344.48,0.47,0.64,2026-04-17,553,N20,VIIRS,n,2.0NRT,306.7,4.83,D,2026-04-17 05:53:00
17.70035,99.32955,340.68,0.47,0.64,2026-04-17,553,N20,VIIRS,n,2.0NRT,304.94,4.83,D,2026-04-17 05:53:00
17.55018,97.77737,350.89,0.6,0.7,2026-04-17,555,N20,VIIRS,n,2.0NRT,295.58,9.24,D,2026-04-17 05:55:00
17.64178,98.41566,340.53,0.54,0.68,2026-04-17,555,N20,VIIRS,n,2.0NRT,305.04,6.45,D,2026-04-17 05:55:00
17.9702,98.85427,338.19,0.5,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,304.03,2.9,D,2026-04-17 05:55:00
18.00672,97.72884,331.83,0.59,0.7,2026-04-17,555,N20,VIIRS,n,2.0NRT,294.22,9.21,D,2026-04-17 05:55:00
18.02143,98.51584,335.05,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.2,4.77,D,2026-04-17 05:55:00
18.10176,98.8159,333.44,0.5,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,294.25,4.71,D,2026-04-17 05:55:00
18.13109,98.57832,347.61,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.96,6.11,D,2026-04-17 05:55:00
18.13194,98.58223,330.42,0.52,0.67,2026-04-17,555,N20,VIIRS,l,2.0NRT,301.78,6.11,D,2026-04-17 05:55:00
18.13198,98.57568,335.81,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.14,7.81,D,2026-04-17 05:55:00
18.13278,98.58611,343.68,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.12,7.56,D,2026-04-17 05:55:00
18.13284,98.57954,344.27,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.02,7.35,D,2026-04-17 05:55:00
18.1337,98.58339,332.63,0.52,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.18,7.35,D,2026-04-17 05:55:00
18.13456,98.58723,334.18,0.52,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.84,5.12,D,2026-04-17 05:55:00
18.13532,98.56248,345.71,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.03,6.42,D,2026-04-17 05:55:00
18.13628,98.57326,343.71,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.24,11.91,D,2026-04-17 05:55:00
18.1363,98.56685,332.74,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.55,6.42,D,2026-04-17 05:55:00
18.1371,98.57704,333.89,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.88,6.11,D,2026-04-17 05:55:00
18.13803,98.57458,346.65,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.01,9.65,D,2026-04-17 05:55:00
18.1398,98.56049,338.49,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.02,9.21,D,2026-04-17 05:55:00
18.14071,98.56468,367.0,0.52,0.67,2026-04-17,555,N20,VIIRS,h,2.0NRT,300.92,9.21,D,2026-04-17 05:55:00
18.14152,98.56198,353.43,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.87,6.42,D,2026-04-17 05:55:00
18.14244,98.56609,331.34,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.27,6.42,D,2026-04-17 05:55:00
18.14332,98.57007,341.94,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.94,9.65,D,2026-04-17 05:55:00
18.14765,98.56765,332.9,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.96,12.0,D,2026-04-17 05:55:00
18.29193,99.15926,339.69,0.47,0.64,2026-04-17,555,N20,VIIRS,n,2.0NRT,295.23,8.42,D,2026-04-17 05:55:00
18.29284,99.16342,338.73,0.47,0.64,2026-04-17,555,N20,VIIRS,n,2.0NRT,294.15,7.88,D,2026-04-17 05:55:00
18.69899,97.93818,336.34,0.55,0.68,2026-04-17,555,N20,VIIRS,n,2.0NRT,297.37,4.62,D,2026-04-17 05:55:00
18.76826,98.84889,350.0,0.48,0.65,2026-04-17,555,N20,VIIRS,n,2.0NRT,296.83,10.76,D,2026-04-17 05:55:00
18.8598,97.6876,343.02,0.57,0.69,2026-04-17,555,N20,VIIRS,n,2.0NRT,293.55,13.8,D,2026-04-17 05:55:00
19.085,98.25977,352.49,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,297.77,7.51,D,2026-04-17 05:55:00
19.08607,98.26454,334.55,0.52,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,295.92,7.51,D,2026-04-17 05:55:00
19.14234,98.06004,335.22,0.53,0.67,2026-04-17,555,N20,VIIRS,n,2.0NRT,296.36,8.23,D,2026-04-17 05:55:00
19.19859,98.28162,333.08,0.51,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.12,4.34,D,2026-04-17 05:55:00
19.1993,98.28477,338.82,0.51,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.39,4.34,D,2026-04-17 05:55:00
19.25165,97.94797,345.08,0.54,0.68,2026-04-17,555,N20,VIIRS,n,2.0NRT,298.23,10.22,D,2026-04-17 05:55:00
19.25392,97.59415,331.49,0.57,0.69,2026-04-17,555,N20,VIIRS,n,2.0NRT,294.18,4.84,D,2026-04-17 05:55:00
19.27894,99.44775,350.12,0.43,0.62,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.34,6.6,D,2026-04-17 05:55:00
19.30382,98.40337,334.77,0.5,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.57,4.45,D,2026-04-17 05:55:00
19.33827,97.71304,332.05,0.55,0.68,2026-04-17,555,N20,VIIRS,n,2.0NRT,294.19,3.95,D,2026-04-17 05:55:00
19.44746,99.46172,336.17,0.43,0.62,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.64,2.88,D,2026-04-17 05:55:00
19.45731,98.8723,338.33,0.46,0.64,2026-04-17,555,N20,VIIRS,n,2.0NRT,294.13,5.94,D,2026-04-17 05:55:00
19.47063,99.06909,332.07,0.45,0.63,2026-04-17,555,N20,VIIRS,n,2.0NRT,295.26,4.04,D,2026-04-17 05:55:00
19.50992,98.78232,367.0,0.47,0.64,2026-04-17,555,N20,VIIRS,h,2.0NRT,293.15,10.02,D,2026-04-17 05:55:00
19.51662,98.64797,335.05,0.48,0.65,2026-04-17,555,N20,VIIRS,n,2.0NRT,304.28,7.04,D,2026-04-17 05:55:00
19.51744,98.65169,345.81,0.48,0.65,2026-04-17,555,N20,VIIRS,n,2.0NRT,303.39,7.04,D,2026-04-17 05:55:00
19.59167,98.23152,333.26,0.51,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,295.96,5.53,D,2026-04-17 05:55:00
19.59611,98.23383,343.38,0.51,0.66,2026-04-17,555,N20,VIIRS,n,2.0NRT,296.35,5.36,D,2026-04-17 05:55:00
19.59952,99.13308,335.05,0.44,0.63,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.46,7.67,D,2026-04-17 05:55:00
19.60053,99.13766,330.96,0.44,0.63,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.39,5.58,D,2026-04-17 05:55:00
19.67583,98.92957,345.65,0.46,0.63,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.27,3.88,D,2026-04-17 05:55:00
19.7006,99.2458,330.55,0.43,0.62,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.83,4.03,D,2026-04-17 05:55:00
19.75157,99.24809,341.1,0.43,0.62,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.76,4.08,D,2026-04-17 05:55:00
19.82269,99.49585,335.71,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.5,3.43,D,2026-04-17 05:55:00
19.82348,99.49954,337.15,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.76,3.43,D,2026-04-17 05:55:00
19.82689,99.48859,333.97,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.97,9.94,D,2026-04-17 05:55:00
19.82761,99.49195,367.0,0.42,0.61,2026-04-17,555,N20,VIIRS,h,2.0NRT,304.32,9.94,D,2026-04-17 05:55:00
19.82833,99.49529,353.09,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,308.05,48.51,D,2026-04-17 05:55:00
19.82905,99.49866,207.93,0.42,0.61,2026-04-17,555,N20,VIIRS,l,2.0NRT,322.44,48.51,D,2026-04-17 05:55:00
19.83392,99.49451,340.17,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,302.77,48.51,D,2026-04-17 05:55:00
19.83461,99.4977,349.08,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,311.68,48.51,D,2026-04-17 05:55:00
19.83755,99.46145,333.65,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,299.65,4.45,D,2026-04-17 05:55:00
19.83835,99.46506,353.84,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,301.59,11.41,D,2026-04-17 05:55:00
19.83904,99.46463,348.91,0.42,0.61,2026-04-17,555,N20,VIIRS,n,2.0NRT,300.85,10.92,D,2026-04-17 05:55:00
19.83911,99.4685,367.0,0.42,0.61,2026-04-17,555,N20,VIIRS,h,2.0NRT,303.81,11.41,D,2026-04-17 05:55:00
