latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
18.34203,98.01948,334.2,0.61,0.53,2026-05-20,716,N20,VIIRS,n,2.0NRT,289.03,3.44,D,2026-05-20 07:16:00
19.73351,98.6942,332.21,0.35,0.57,2026-05-20,718,N20,VIIRS,n,2.0NRT,297.4,2.92,D,2026-05-20 07:18:00
19.73867,98.69299,336.66,0.35,0.57,2026-05-20,718,N20,VIIRS,n,2.0NRT,295.78,2.92,D,2026-05-20 07:18:00
19.91397,98.95036,329.26,0.37,0.58,2026-05-20,718,N20,VIIRS,l,2.0NRT,300.05,5.43,D,2026-05-20 07:18:00
19.91433,98.95385,329.34,0.37,0.58,2026-05-20,718,N20,VIIRS,n,2.0NRT,298.08,4.65,D,2026-05-20 07:18:00
