latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.60831,98.77744,338.42,0.39,0.36,2026-05-11,644,N20,VIIRS,n,2.0NRT,302.37,7.56,D,2026-05-11 06:44:00
18.37719,97.54945,332.07,0.38,0.36,2026-05-11,646,N20,VIIRS,n,2.0NRT,294.53,1.94,D,2026-05-11 06:46:00
18.39539,99.43063,336.34,0.4,0.37,2026-05-11,646,N20,VIIRS,n,2.0NRT,299.45,3.93,D,2026-05-11 06:46:00
18.49117,98.43767,334.25,0.39,0.36,2026-05-11,646,N20,VIIRS,n,2.0NRT,299.37,3.02,D,2026-05-11 06:46:00
18.60475,98.42608,332.63,0.39,0.36,2026-05-11,646,N20,VIIRS,n,2.0NRT,296.83,1.77,D,2026-05-11 06:46:00
