latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.50014,97.83848,331.84,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.2,1.64,D,2026-04-14 06:52:00
17.51695,97.85915,333.68,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.61,1.74,D,2026-04-14 06:52:00
17.52033,97.85861,347.75,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,306.98,4.49,D,2026-04-14 06:52:00
17.52369,97.85801,334.72,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,305.53,4.49,D,2026-04-14 06:52:00
17.52448,97.98234,337.73,0.41,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,310.7,5.99,D,2026-04-14 06:52:00
17.52782,97.85328,341.69,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.33,4.11,D,2026-04-14 06:52:00
17.52987,99.16492,340.11,0.45,0.39,2026-04-14,652,N20,VIIRS,l,2.0NRT,314.94,4.34,D,2026-04-14 06:52:00
17.53012,98.7551,335.44,0.43,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,303.57,3.15,D,2026-04-14 06:52:00
17.53066,98.75898,333.43,0.43,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,303.33,3.15,D,2026-04-14 06:52:00
17.53071,97.97752,355.37,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,312.3,6.46,D,2026-04-14 06:52:00
17.53122,98.76293,335.3,0.43,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,302.54,3.75,D,2026-04-14 06:52:00
17.53125,97.9813,342.8,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,309.08,4.86,D,2026-04-14 06:52:00
17.53342,99.16438,346.19,0.45,0.39,2026-04-14,652,N20,VIIRS,n,2.0NRT,316.43,6.8,D,2026-04-14 06:52:00
17.53409,97.97696,346.52,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,310.16,6.46,D,2026-04-14 06:52:00
17.5378,98.73395,334.01,0.43,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,308.03,2.51,D,2026-04-14 06:52:00
17.54086,97.97587,348.35,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,307.82,5.01,D,2026-04-14 06:52:00
17.54177,97.97565,346.53,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,308.09,7.61,D,2026-04-14 06:52:00
17.54222,98.79031,347.85,0.43,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.58,4.13,D,2026-04-14 06:52:00
17.54515,97.97504,354.22,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,310.79,7.61,D,2026-04-14 06:52:00
17.54516,98.78585,331.42,0.43,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,303.68,4.24,D,2026-04-14 06:52:00
17.54605,98.327,334.6,0.42,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,307.25,3.31,D,2026-04-14 06:52:00
17.54854,97.9745,342.81,0.41,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,316.07,45.6,D,2026-04-14 06:52:00
17.56135,98.40992,349.11,0.42,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,316.38,8.34,D,2026-04-14 06:52:00
17.56931,97.75822,343.62,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,307.43,13.19,D,2026-04-14 06:52:00
17.59608,97.52534,347.59,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,310.88,8.2,D,2026-04-14 06:52:00
17.59943,97.52481,341.29,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,312.56,6.09,D,2026-04-14 06:52:00
17.59997,97.52854,341.49,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,312.79,6.09,D,2026-04-14 06:52:00
17.6335,98.37799,350.6,0.42,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,311.6,5.52,D,2026-04-14 06:52:00
17.63433,97.57639,335.23,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,305.94,1.68,D,2026-04-14 06:52:00
17.63671,97.85606,331.18,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,305.44,3.66,D,2026-04-14 06:52:00
17.63719,97.76286,340.53,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.15,3.21,D,2026-04-14 06:52:00
17.63725,97.8598,346.21,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.79,3.66,D,2026-04-14 06:52:00
17.63807,98.38545,343.9,0.42,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,310.96,3.99,D,2026-04-14 06:52:00
17.65446,97.57321,344.47,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,306.33,2.65,D,2026-04-14 06:52:00
17.65781,97.57268,334.87,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,303.84,2.65,D,2026-04-14 06:52:00
17.66371,98.41784,345.05,0.42,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,311.12,4.3,D,2026-04-14 06:52:00
17.66657,98.41323,340.84,0.42,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,312.35,3.14,D,2026-04-14 06:52:00
17.6683,98.42539,335.85,0.42,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,310.36,1.8,D,2026-04-14 06:52:00
17.66864,99.0199,342.44,0.44,0.39,2026-04-14,652,N20,VIIRS,n,2.0NRT,310.12,5.28,D,2026-04-14 06:52:00
17.67052,97.73125,341.36,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,304.75,3.89,D,2026-04-14 06:52:00
17.70337,97.56519,331.56,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,304.89,4.04,D,2026-04-14 06:52:00
17.70413,99.19592,347.3,0.45,0.39,2026-04-14,652,N20,VIIRS,n,2.0NRT,314.44,5.94,D,2026-04-14 06:52:00
17.70618,97.56094,337.5,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,306.68,3.71,D,2026-04-14 06:52:00
17.70672,97.56465,334.08,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,304.17,3.71,D,2026-04-14 06:52:00
17.72654,98.46915,336.63,0.42,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,309.92,5.06,D,2026-04-14 06:52:00
17.73495,99.44402,335.44,0.46,0.39,2026-04-14,652,N20,VIIRS,n,2.0NRT,303.13,5.94,D,2026-04-14 06:52:00
17.76129,98.41562,336.29,0.42,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,310.67,2.81,D,2026-04-14 06:52:00
17.79072,97.7892,337.09,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.91,2.95,D,2026-04-14 06:52:00
17.7971,97.57264,334.67,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,303.61,43.7,D,2026-04-14 06:52:00
17.79762,97.57621,367.0,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,329.64,190.4,D,2026-04-14 06:52:00
17.80511,97.72179,332.56,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,306.02,1.57,D,2026-04-14 06:52:00
17.81045,97.75869,334.74,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,305.98,2.82,D,2026-04-14 06:52:00
17.8137,98.34318,336.41,0.42,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,306.71,1.85,D,2026-04-14 06:52:00
17.81497,97.88554,340.63,0.41,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,312.17,8.89,D,2026-04-14 06:52:00
17.81758,98.63971,336.41,0.43,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,310.85,2.56,D,2026-04-14 06:52:00
17.83937,98.79485,339.13,0.44,0.38,2026-04-14,652,N20,VIIRS,l,2.0NRT,313.81,6.18,D,2026-04-14 06:52:00
17.84312,98.5946,340.51,0.43,0.38,2026-04-14,652,N20,VIIRS,n,2.0NRT,308.92,5.23,D,2026-04-14 06:52:00
17.84419,97.92004,336.77,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.05,2.51,D,2026-04-14 06:52:00
17.8471,97.9161,337.97,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.89,4.25,D,2026-04-14 06:52:00
17.85052,97.91576,344.96,0.41,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,306.87,4.25,D,2026-04-14 06:52:00
17.85393,97.91533,331.56,0.41,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,305.09,2.86,D,2026-04-14 06:52:00
17.87369,97.77943,336.46,0.4,0.37,2026-04-14,652,N20,VIIRS,l,2.0NRT,308.5,3.04,D,2026-04-14 06:52:00
17.87603,97.65222,345.65,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.94,28.21,D,2026-04-14 06:52:00
17.87885,97.64789,346.37,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,305.58,28.21,D,2026-04-14 06:52:00
17.87995,97.65549,336.73,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,302.16,25.82,D,2026-04-14 06:52:00
17.88222,97.6474,349.45,0.4,0.37,2026-04-14,652,N20,VIIRS,n,2.0NRT,307.22,33.3,D,2026-04-14 06:52:00
