latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.50268,98.91662,330.22,0.35,0.57,2026-04-02,716,N20,VIIRS,l,2.0NRT,301.71,2.17,D,2026-04-02 07:16:00
17.50375,98.643,330.74,0.33,0.56,2026-04-02,716,N20,VIIRS,l,2.0NRT,301.8,2.88,D,2026-04-02 07:16:00
17.50387,97.54671,341.67,0.56,0.52,2026-04-02,716,N20,VIIRS,n,2.0NRT,305.08,11.7,D,2026-04-02 07:16:00
17.50424,97.54379,354.37,0.56,0.52,2026-04-02,716,N20,VIIRS,n,2.0NRT,305.05,13.85,D,2026-04-02 07:16:00
17.5067,98.90509,337.02,0.35,0.57,2026-04-02,716,N20,VIIRS,n,2.0NRT,303.89,4.4,D,2026-04-02 07:16:00
17.52732,99.29455,355.12,0.37,0.58,2026-04-02,716,N20,VIIRS,n,2.0NRT,303.66,5.56,D,2026-04-02 07:16:00
17.52751,98.45225,338.29,0.32,0.55,2026-04-02,716,N20,VIIRS,n,2.0NRT,307.85,4.24,D,2026-04-02 07:16:00
17.53145,98.44151,334.01,0.32,0.55,2026-04-02,716,N20,VIIRS,l,2.0NRT,308.25,4.26,D,2026-04-02 07:16:00
17.55763,98.98251,332.03,0.35,0.57,2026-04-02,716,N20,VIIRS,l,2.0NRT,304.94,2.62,D,2026-04-02 07:16:00
17.55797,98.98558,338.04,0.35,0.57,2026-04-02,716,N20,VIIRS,n,2.0NRT,304.0,2.62,D,2026-04-02 07:16:00
17.558,98.98196,331.01,0.35,0.57,2026-04-02,716,N20,VIIRS,l,2.0NRT,304.79,2.9,D,2026-04-02 07:16:00
17.55833,98.98503,341.74,0.35,0.57,2026-04-02,716,N20,VIIRS,n,2.0NRT,303.97,2.9,D,2026-04-02 07:16:00
17.58027,97.61669,340.78,0.57,0.52,2026-04-02,716,N20,VIIRS,n,2.0NRT,307.46,9.45,D,2026-04-02 07:16:00
17.58355,99.26417,331.67,0.37,0.58,2026-04-02,716,N20,VIIRS,l,2.0NRT,304.92,4.41,D,2026-04-02 07:16:00
17.58386,99.26697,334.5,0.37,0.58,2026-04-02,716,N20,VIIRS,n,2.0NRT,304.15,4.22,D,2026-04-02 07:16:00
17.58459,97.65409,340.27,0.58,0.52,2026-04-02,716,N20,VIIRS,n,2.0NRT,301.99,4.86,D,2026-04-02 07:16:00
17.58504,97.61597,331.74,0.57,0.52,2026-04-02,716,N20,VIIRS,l,2.0NRT,305.37,4.2,D,2026-04-02 07:16:00
17.58696,99.26083,331.73,0.37,0.58,2026-04-02,716,N20,VIIRS,l,2.0NRT,303.51,2.1,D,2026-04-02 07:16:00
17.58859,99.26086,330.65,0.37,0.58,2026-04-02,716,N20,VIIRS,l,2.0NRT,303.64,2.19,D,2026-04-02 07:16:00
17.59221,98.71248,339.92,0.34,0.56,2026-04-02,716,N20,VIIRS,n,2.0NRT,302.06,7.06,D,2026-04-02 07:16:00
17.59252,98.71532,348.06,0.34,0.56,2026-04-02,716,N20,VIIRS,n,2.0NRT,300.81,5.68,D,2026-04-02 07:16:00
17.60029,98.83386,331.39,0.34,0.56,2026-04-02,716,N20,VIIRS,l,2.0NRT,304.39,3.21,D,2026-04-02 07:16:00
17.60312,98.76405,333.22,0.34,0.56,2026-04-02,716,N20,VIIRS,l,2.0NRT,304.82,5.12,D,2026-04-02 07:16:00
17.6046,97.82819,338.25,0.59,0.53,2026-04-02,716,N20,VIIRS,n,2.0NRT,305.08,6.85,D,2026-04-02 07:16:00
17.60565,98.69248,333.34,0.34,0.56,2026-04-02,716,N20,VIIRS,l,2.0NRT,303.92,3.34,D,2026-04-02 07:16:00
17.60775,98.71143,341.83,0.34,0.56,2026-04-02,716,N20,VIIRS,n,2.0NRT,304.1,6.69,D,2026-04-02 07:16:00
