latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.50537,99.0822,334.57,0.56,0.51,2026-04-13,709,N20,VIIRS,n,2.0NRT,303.94,5.45,D,2026-04-13 07:09:00
17.52509,98.17915,334.82,0.49,0.48,2026-04-13,709,N20,VIIRS,n,2.0NRT,304.76,3.42,D,2026-04-13 07:09:00
17.52527,97.78067,340.79,0.46,0.47,2026-04-13,709,N20,VIIRS,n,2.0NRT,298.97,36.28,D,2026-04-13 07:09:00
17.5261,97.96568,332.56,0.47,0.48,2026-04-13,709,N20,VIIRS,l,2.0NRT,304.54,3.87,D,2026-04-13 07:09:00
17.52733,97.78226,346.61,0.46,0.47,2026-04-13,709,N20,VIIRS,n,2.0NRT,303.56,30.68,D,2026-04-13 07:09:00
17.5288,97.9877,338.0,0.47,0.48,2026-04-13,709,N20,VIIRS,n,2.0NRT,301.49,3.77,D,2026-04-13 07:09:00
17.52967,97.78065,352.29,0.46,0.47,2026-04-13,709,N20,VIIRS,n,2.0NRT,303.67,36.28,D,2026-04-13 07:09:00
17.53169,97.78196,341.64,0.46,0.47,2026-04-13,709,N20,VIIRS,n,2.0NRT,300.14,30.68,D,2026-04-13 07:09:00
17.53266,98.75755,347.94,0.53,0.5,2026-04-13,709,N20,VIIRS,n,2.0NRT,302.62,9.62,D,2026-04-13 07:09:00
17.53338,98.75576,333.77,0.53,0.5,2026-04-13,709,N20,VIIRS,n,2.0NRT,302.66,4.75,D,2026-04-13 07:09:00
17.53395,98.76046,341.38,0.53,0.5,2026-04-13,709,N20,VIIRS,n,2.0NRT,301.74,4.75,D,2026-04-13 07:09:00
17.53519,98.73851,343.91,0.53,0.5,2026-04-13,709,N20,VIIRS,n,2.0NRT,306.51,8.81,D,2026-04-13 07:09:00
17.53573,98.74325,339.81,0.53,0.5,2026-04-13,709,N20,VIIRS,n,2.0NRT,303.72,8.81,D,2026-04-13 07:09:00
17.53634,98.74132,349.73,0.53,0.5,2026-04-13,709,N20,VIIRS,n,2.0NRT,306.15,17.86,D,2026-04-13 07:09:00
17.53699,97.98172,343.86,0.47,0.48,2026-04-13,709,N20,VIIRS,n,2.0NRT,306.12,12.53,D,2026-04-13 07:09:00
17.5375,97.98589,332.0,0.47,0.48,2026-04-13,709,N20,VIIRS,l,2.0NRT,302.19,9.23,D,2026-04-13 07:09:00
