latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.52248,98.17504,330.33,0.71,0.75,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.92,7.63,D,2026-04-12 05:48:00
17.56663,98.39551,337.78,0.69,0.74,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.57,8.18,D,2026-04-12 05:48:00
17.57071,98.39494,331.06,0.69,0.74,2026-04-12,548,N20,VIIRS,n,2.0NRT,297.25,9.26,D,2026-04-12 05:48:00
17.70554,97.69571,354.99,0.76,0.77,2026-04-12,548,N20,VIIRS,n,2.0NRT,290.75,23.18,D,2026-04-12 05:48:00
17.70717,97.69572,350.7,0.76,0.77,2026-04-12,548,N20,VIIRS,n,2.0NRT,290.72,52.62,D,2026-04-12 05:48:00
17.71235,97.69361,367.0,0.76,0.77,2026-04-12,548,N20,VIIRS,h,2.0NRT,292.23,23.18,D,2026-04-12 05:48:00
17.96529,98.12378,334.5,0.7,0.75,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.13,11.62,D,2026-04-12 05:48:00
17.96719,98.13195,335.48,0.7,0.75,2026-04-12,548,N20,VIIRS,n,2.0NRT,296.74,8.59,D,2026-04-12 05:48:00
17.97861,98.5112,331.43,0.66,0.73,2026-04-12,548,N20,VIIRS,n,2.0NRT,297.3,7.89,D,2026-04-12 05:48:00
18.14416,98.45845,331.45,0.66,0.73,2026-04-12,548,N20,VIIRS,n,2.0NRT,299.07,6.32,D,2026-04-12 05:48:00
18.15788,99.26363,343.21,0.59,0.7,2026-04-12,548,N20,VIIRS,n,2.0NRT,300.06,6.16,D,2026-04-12 05:48:00
18.16014,99.26202,341.66,0.59,0.7,2026-04-12,548,N20,VIIRS,n,2.0NRT,300.72,7.25,D,2026-04-12 05:48:00
18.30429,97.62863,352.2,0.74,0.76,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.89,18.96,D,2026-04-12 05:48:00
18.30723,97.64118,367.0,0.74,0.76,2026-04-12,548,N20,VIIRS,h,2.0NRT,299.53,18.96,D,2026-04-12 05:48:00
18.30843,97.64629,338.93,0.74,0.76,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.08,19.53,D,2026-04-12 05:48:00
18.31063,97.628,354.89,0.74,0.76,2026-04-12,548,N20,VIIRS,n,2.0NRT,295.73,29.4,D,2026-04-12 05:48:00
18.31172,97.62939,367.0,0.74,0.76,2026-04-12,548,N20,VIIRS,h,2.0NRT,296.1,18.96,D,2026-04-12 05:48:00
18.31364,97.64048,354.29,0.74,0.76,2026-04-12,548,N20,VIIRS,n,2.0NRT,293.93,29.43,D,2026-04-12 05:48:00
18.31443,97.64099,349.37,0.74,0.76,2026-04-12,548,N20,VIIRS,n,2.0NRT,294.52,18.96,D,2026-04-12 05:48:00
18.33561,98.18414,330.43,0.68,0.74,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.17,6.8,D,2026-04-12 05:48:00
18.33924,98.18298,330.36,0.69,0.74,2026-04-12,548,N20,VIIRS,n,2.0NRT,298.0,4.89,D,2026-04-12 05:48:00
18.49873,98.40373,332.87,0.66,0.73,2026-04-12,548,N20,VIIRS,n,2.0NRT,302.38,5.68,D,2026-04-12 05:48:00
18.63053,99.21502,333.18,0.58,0.7,2026-04-12,548,N20,VIIRS,n,2.0NRT,301.93,14.27,D,2026-04-12 05:48:00
18.63189,99.22099,367.0,0.58,0.7,2026-04-12,548,N20,VIIRS,h,2.0NRT,302.16,20.3,D,2026-04-12 05:48:00
18.76225,98.39622,348.87,0.65,0.73,2026-04-12,550,N20,VIIRS,n,2.0NRT,302.13,7.24,D,2026-04-12 05:50:00
18.98643,99.40248,330.97,0.55,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,296.89,5.1,D,2026-04-12 05:50:00
18.9876,99.40762,331.58,0.55,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,295.55,5.1,D,2026-04-12 05:50:00
19.05757,98.21492,332.06,0.66,0.73,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.2,6.0,D,2026-04-12 05:50:00
19.05899,98.22099,336.64,0.66,0.73,2026-04-12,550,N20,VIIRS,n,2.0NRT,295.38,6.0,D,2026-04-12 05:50:00
19.15525,99.46687,339.93,0.54,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,300.28,8.84,D,2026-04-12 05:50:00
19.17285,97.66451,333.48,0.71,0.75,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.19,6.17,D,2026-04-12 05:50:00
19.18343,99.45278,331.47,0.54,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,299.84,2.84,D,2026-04-12 05:50:00
19.1848,99.45518,331.12,0.54,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.91,5.89,D,2026-04-12 05:50:00
19.2142,97.77916,332.29,0.7,0.75,2026-04-12,550,N20,VIIRS,n,2.0NRT,299.79,4.28,D,2026-04-12 05:50:00
19.21577,97.77702,330.02,0.69,0.75,2026-04-12,550,N20,VIIRS,n,2.0NRT,299.76,5.77,D,2026-04-12 05:50:00
19.24279,98.77269,337.3,0.6,0.71,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.41,6.19,D,2026-04-12 05:50:00
19.24732,97.9796,338.52,0.67,0.74,2026-04-12,550,N20,VIIRS,n,2.0NRT,300.52,6.83,D,2026-04-12 05:50:00
19.24766,97.79164,330.53,0.69,0.74,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.33,5.12,D,2026-04-12 05:50:00
19.34346,99.45053,332.08,0.54,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,301.76,8.04,D,2026-04-12 05:50:00
19.364,98.07384,336.36,0.66,0.73,2026-04-12,550,N20,VIIRS,n,2.0NRT,301.21,7.35,D,2026-04-12 05:50:00
19.39515,98.81501,338.07,0.59,0.7,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.08,5.8,D,2026-04-12 05:50:00
19.3974,98.68085,338.64,0.6,0.71,2026-04-12,550,N20,VIIRS,n,2.0NRT,297.71,4.55,D,2026-04-12 05:50:00
19.39841,98.81058,356.21,0.59,0.7,2026-04-12,550,N20,VIIRS,n,2.0NRT,300.82,15.67,D,2026-04-12 05:50:00
19.40098,98.81144,343.36,0.59,0.7,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.62,5.8,D,2026-04-12 05:50:00
19.41989,98.83555,344.99,0.59,0.7,2026-04-12,550,N20,VIIRS,n,2.0NRT,299.56,7.77,D,2026-04-12 05:50:00
19.45045,99.35839,356.16,0.55,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,300.38,9.1,D,2026-04-12 05:50:00
19.45557,99.46561,345.6,0.54,0.68,2026-04-12,550,N20,VIIRS,n,2.0NRT,299.76,10.48,D,2026-04-12 05:50:00
19.47182,98.62066,330.59,0.61,0.71,2026-04-12,550,N20,VIIRS,n,2.0NRT,296.79,5.94,D,2026-04-12 05:50:00
19.53827,98.41012,331.39,0.62,0.72,2026-04-12,550,N20,VIIRS,n,2.0NRT,299.15,3.57,D,2026-04-12 05:50:00
19.60619,98.26634,348.99,0.64,0.72,2026-04-12,550,N20,VIIRS,n,2.0NRT,300.23,10.39,D,2026-04-12 05:50:00
19.6073,98.27106,345.28,0.63,0.72,2026-04-12,550,N20,VIIRS,n,2.0NRT,298.25,10.39,D,2026-04-12 05:50:00
19.61144,97.58552,331.0,0.7,0.75,2026-04-12,550,N20,VIIRS,l,2.0NRT,304.46,3.85,D,2026-04-12 05:50:00
19.66247,98.77114,337.16,0.59,0.7,2026-04-12,550,N20,VIIRS,n,2.0NRT,301.29,4.83,D,2026-04-12 05:50:00
19.6694,98.83007,367.0,0.58,0.7,2026-04-12,550,N20,VIIRS,h,2.0NRT,301.73,14.33,D,2026-04-12 05:50:00
