latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
18.06477,99.48328,334.57,0.45,0.47,2026-06-03,614,N20,VIIRS,n,2.0NRT,292.77,3.57,D,2026-06-03 06:14:00
18.31678,98.37119,328.56,0.52,0.5,2026-06-03,614,N20,VIIRS,n,2.0NRT,296.57,3.97,D,2026-06-03 06:14:00
18.85713,98.84456,335.36,0.47,0.48,2026-06-03,614,N20,VIIRS,n,2.0NRT,294.55,6.4,D,2026-06-03 06:14:00
18.87126,99.4792,333.46,0.43,0.46,2026-06-03,614,N20,VIIRS,n,2.0NRT,289.52,3.58,D,2026-06-03 06:14:00
19.19871,98.84843,329.43,0.47,0.47,2026-06-03,614,N20,VIIRS,n,2.0NRT,294.32,3.45,D,2026-06-03 06:14:00
20.03352,98.97157,326.59,0.44,0.46,2026-06-03,616,N20,VIIRS,l,2.0NRT,300.89,8.25,D,2026-06-03 06:16:00
