latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime
17.54062,97.57539,330.17,0.57,0.43,2026-04-26,627,N20,VIIRS,l,2.0NRT,300.25,5.1,D,2026-04-26 06:27:00
17.87069,97.68333,343.08,0.56,0.43,2026-04-26,627,N20,VIIRS,n,2.0NRT,298.08,7.28,D,2026-04-26 06:27:00
18.21752,98.71738,339.77,0.49,0.4,2026-04-26,627,N20,VIIRS,n,2.0NRT,299.61,5.97,D,2026-04-26 06:27:00
18.87394,98.35902,330.08,0.5,0.41,2026-04-26,627,N20,VIIRS,l,2.0NRT,297.41,4.8,D,2026-04-26 06:27:00
20.1697,97.83464,343.06,0.51,0.41,2026-04-26,627,N20,VIIRS,n,2.0NRT,307.86,8.21,D,2026-04-26 06:27:00
